,0,1,2,3,4,5,6,7,8,9,10,11,12
27,rat,mouse,0.271,0.567,0.255,0.427,0.441,0.206,0.9230769230769231,0.763420581817627,7.78,6.417174183602777,0.93
28,destroy,make,0.046,0.935,0.635,0.684,0.42,0.48,0.5,0.7934677600860596,1.6,2.1421240974980673,1.72
29,pain,harm,0.012,0.765,0.395,0.073,0.679,0.423,0.6666666666666666,0.6205959320068359,5.38,6.678035837011079,0.95
30,father,god,0.812,0.333,0.824,0.758,0.518,0.886,0.8421052631578947,0.664184033870697,3.57,7.471367822717016,1.31
31,alcohol,whiskey,0.323,0.667,0.377,0.612,0.706,0.441,0.9,0.8972005844116211,7.27,5.991275910418675,1.19
32,room,cell,0.729,0.283,0.445,0.541,0.375,0.465,0.9411764705882353,0.7565990090370178,4.58,6.243714498076006,1.28
33,club,society,0.646,0.618,0.393,0.674,0.464,0.782,1.0,0.8770535588264465,5.23,6.875607730790766,1.59
34,teacher,rabbi,0.76,0.404,0.885,0.459,0.362,0.723,0.5714285714285714,0.8259642720222473,4.37,4.8077639199205535,1.12
35,second,minute,0.49,0.21,0.25,0.582,0.279,0.356,1.0,0.8369801044464111,4.62,5.889523707112803,1.15
36,alcohol,gin,0.323,0.667,0.377,0.449,0.551,0.518,0.9,0.930557370185852,8.65,6.499869186793953,1.17
37,page,paragraph,0.677,0.224,0.278,0.51,0.164,0.269,0.25,0.8703783750534058,3.03,3.1214041290719754,1.37
38,fever,illness,0.194,0.674,0.364,0.098,0.717,0.211,0.47058823529411764,0.8751104474067688,7.65,6.2519570886202045,1.54
39,create,make,0.786,0.588,0.789,0.684,0.42,0.48,1.0,0.7644156217575073,8.72,7.161861861116222,1.14
40,day,dawn,0.719,0.269,0.389,0.827,0.235,0.519,0.8333333333333334,0.5962814092636108,5.47,5.299132225170194,1.45
41,kill,defend,0.052,0.941,0.736,0.698,0.722,0.67,0.5,0.8361301422119141,2.63,2.7102377697690745,0.85
42,celebration,ceremony,0.939,0.824,0.88,0.76,0.559,0.761,0.8571428571428571,0.9161369204521179,7.72,6.784237944894816,0.61
43,hat,coat,0.604,0.183,0.353,0.677,0.256,0.464,0.7619047619047619,0.9670307040214539,2.67,3.7558569664258896,1.76
44,logic,arithmetic,0.646,0.245,0.819,0.453,0.46,0.634,0.6666666666666666,0.4003608524799347,3.97,4.957401705922002,1.81
45,sofa,chair,0.583,0.106,0.263,0.562,0.082,0.276,0.9,0.8425382971763611,6.67,4.704943766414813,1.56
46,pollution,president,0.062,0.694,0.445,0.677,0.622,0.973,0.5,0.7414959669113159,0.68,2.0450109600612114,1.6
47,dull,funny,0.194,0.12,0.185,0.918,0.61,0.566,0.5,0.8576804995536804,0.55,1.3400733608161168,1.76
48,locate,find,0.583,0.52,0.786,0.774,0.555,0.58,0.8,0.6649415493011475,8.73,6.7744758971671075,1.54
49,clothes,button,0.833,0.27,0.414,0.52,0.22,0.343,0.7142857142857143,0.9185900688171387,2.3,3.2293335348138963,1.44
50,bird,hen,0.729,0.357,0.364,0.385,0.276,0.241,0.9523809523809523,0.879721462726593,7.03,5.076731616934554,1.43
51,try,think,0.604,0.551,0.556,0.786,0.408,0.618,0.6666666666666666,0.8607508540153503,2.62,4.1315938569370845,1.45
52,dumb,foolish,0.188,0.33,0.151,0.316,0.255,0.109,0.5,0.8337622880935669,6.67,4.639747142321678,1.36
53,apparent,obvious,0.473,0.383,0.398,0.625,0.336,0.585,0.5,0.929912805557251,8.47,1.9664279488593022,1.52
54,son,father,0.792,0.365,0.528,0.812,0.333,0.824,0.9090909090909091,0.9598428606987,3.82,6.043210467424985,1.75
55,wide,narrow,0.571,0.312,0.472,0.26,0.368,0.356,0.5,0.9599063992500305,1.03,2.9542177717042115,0.58
56,frustration,anger,0.06,0.73,0.28,0.167,0.865,0.657,0.875,0.9191377758979797,6.5,6.053704123809104,0.39
57,task,job,0.55,0.353,0.5,0.694,0.541,0.717,1.0,0.8025549054145813,8.87,7.73955167602287,1.75
58,night,chapter,0.598,0.396,0.404,0.58,0.308,0.461,0.7692307692307693,0.7748872637748718,0.48,4.044370851214669,0.92
59,mad,glad,0.219,0.873,0.277,0.938,0.76,0.74,0.5,0.6841216683387756,1.45,1.340258051651749,1.17
60,neck,spine,0.541,0.245,0.345,0.495,0.461,0.6,0.8,0.8824125528335571,5.32,4.706178892738418,1.16
61,know,comprehend,0.765,0.361,0.704,0.875,0.365,0.689,0.5,0.6859005689620972,7.63,4.879474216503282,1.39
62,chief,mayor,0.52,0.544,0.869,0.469,0.481,0.818,0.631578947368421,0.8976930379867554,4.85,5.978512895000956,1.25
63,book,theme,0.802,0.21,0.606,0.541,0.176,0.427,0.7142857142857143,0.9052883982658386,2.58,3.3374104322376503,0.81
64,canyon,valley,0.468,0.731,0.634,0.729,0.306,0.386,0.8571428571428571,0.8600152134895325,6.75,4.9397152777983715,1.39
65,book,topic,0.802,0.21,0.606,0.52,0.276,0.427,0.6666666666666666,0.8343057632446289,2.07,3.2197990500130915,1.22
66,car,factory,0.776,0.54,0.5,0.5,0.5,0.683,0.631578947368421,0.7209486365318298,2.75,3.1365974768681086,1.43
67,house,key,0.587,0.135,0.533,0.615,0.275,0.519,0.6666666666666666,0.7809880375862122,1.9,4.052711618191141,1.09
68,begin,quit,0.677,0.569,0.763,0.469,0.559,0.488,0.5,0.7886157035827637,1.28,3.0725950893957514,1.53
69,dirty,cheap,0.153,0.46,0.17,0.612,0.471,0.272,0.5,0.9085955023765564,1.6,2.690579100844425,1.1
70,fresh,wide,0.908,0.292,0.419,0.571,0.312,0.472,0.5,0.9558200240135193,0.4,2.4481212483854935,1.41
71,bone,teeth,0.337,0.37,0.413,0.52,0.388,0.427,0.9473684210526315,0.9272862076759338,4.17,5.955132025786618,1.92
72,floor,ceiling,0.43,0.23,0.25,0.52,0.224,0.366,0.9230769230769231,0.9113789200782776,1.73,5.046048620316871,0.97
73,pot,appliance,0.5,0.186,0.294,0.582,0.453,0.538,0.75,0.8255744576454163,2.53,4.086557975331465,1.26
74,understand,forgive,0.76,0.374,0.643,0.781,0.408,0.562,0.4,0.820510745048523,4.87,3.7073053763467403,1.32
75,beautiful,wonderful,0.875,0.614,0.648,0.971,0.776,0.83,0.5,0.951350212097168,6.5,6.349115536448707,0.85
76,belief,flower,0.896,0.375,0.656,0.802,0.189,0.254,0.3333333333333333,0.8130707144737244,0.4,2.1854273864744966,1.19
77,linen,fabric,0.656,0.323,0.286,0.635,0.19,0.345,0.9230769230769231,0.8669376373291016,7.47,5.022841470268936,1.26
78,go,sell,0.51,0.441,0.444,0.618,0.608,0.605,0.5263157894736842,0.6597380638122559,0.97,3.0540541098879928,0.9
79,friendly,generous,0.917,0.398,0.598,1.0,0.41,0.81,0.5,0.9183234572410583,5.9,4.289437736030105,0.6
80,fact,insight,0.683,0.333,0.618,0.613,0.363,0.649,0.6666666666666666,0.5917949676513672,4.77,4.902453573635951,1.11
81,fragile,frigid,0.302,0.163,0.126,0.219,0.481,0.395,0.5,0.6869972348213196,2.38,4.169107567835243,0.84
82,achieve,try,0.816,0.545,0.843,0.604,0.551,0.556,0.3333333333333333,0.8373489379882812,4.42,4.493984258250842,1.14
83,pact,agreement,0.442,0.444,0.593,0.76,0.44,0.736,0.8571428571428571,0.5048958659172058,9.02,6.592678394359618,1.2
84,buddy,companion,0.884,0.585,0.655,0.77,0.377,0.618,0.6666666666666666,0.72699373960495,8.65,4.244187527647045,1.64
85,throat,nose,0.35,0.538,0.346,0.582,0.27,0.245,0.8,0.9709770083427429,2.8,3.8784078705191174,1.12
86,college,class,0.7,0.467,0.746,0.656,0.314,0.522,0.6666666666666666,0.9327924847602844,4.13,3.760912003705561,1.16
87,ray,sunshine,0.55,0.67,0.538,0.885,0.297,0.769,0.9166666666666666,0.7423896193504333,6.83,6.144551566820293,1.55
88,fee,payment,0.354,0.386,0.556,0.629,0.452,0.643,0.7777777777777778,0.9354391098022461,7.15,4.75987371667585,1.56
89,car,bicycle,0.776,0.54,0.5,0.708,0.519,0.425,0.8,0.5807167887687683,3.47,4.642439481824489,1.68
90,song,story,0.854,0.413,0.5,0.653,0.406,0.704,0.5454545454545454,0.911467432975769,3.97,3.180328842470437,1.27
91,come,attend,0.529,0.269,0.558,0.65,0.42,0.625,0.4,0.590663492679596,8.1,3.8023295307204092,1.6
92,meter,inch,0.438,0.3,0.463,0.481,0.327,0.3,0.8,0.9281777739524841,5.08,4.160747961397556,1.19
93,make,construct,0.684,0.42,0.48,0.75,0.648,0.792,1.0,0.6349456906318665,8.33,7.509218141404405,0.85
94,formal,proper,0.735,0.25,0.625,0.796,0.312,0.757,0.5,0.9283303022384644,8.02,4.3505957800258575,1.31
95,harsh,cruel,0.25,0.65,0.623,0.122,0.866,0.391,0.5,0.809453547000885,8.18,5.397492939216992,1.66
96,gather,meet,0.648,0.51,0.546,0.76,0.51,0.58,1.0,0.8938818573951721,7.3,8.029114363584073,0.59
97,crowd,parade,0.35,0.827,0.731,0.792,0.685,0.509,0.5,0.8686995506286621,3.93,3.783217709039555,1.05
98,take,carry,0.828,0.537,0.348,0.635,0.38,0.5,1.0,0.7963913083076477,5.23,6.610421219964978,0.44
99,game,action,0.735,0.788,0.493,0.76,0.898,0.802,0.8,0.8923008441925049,4.85,5.7707245332085355,1.12
100,school,grade,0.765,0.423,0.633,0.698,0.36,0.6,0.6666666666666666,0.8498378396034241,4.42,4.182392015282314,1.32
101,put,hang,0.52,0.398,0.51,0.323,0.529,0.446,0.4,0.7495874762535095,3.0,2.9080278814055696,1.49
102,cottage,cabin,0.6,0.279,0.361,0.643,0.292,0.43,0.8,0.9038073420524597,7.72,4.109895658191372,1.47
103,keep,give,0.714,0.296,0.547,0.75,0.346,0.5,0.5454545454545454,0.9220520853996277,1.05,2.8479779941857846,1.03
104,think,rationalize,0.786,0.408,0.618,0.633,0.4,0.746,0.6666666666666666,0.5373438596725464,8.25,4.96135608268405,1.13
105,root,grass,0.602,0.279,0.508,0.604,0.164,0.333,0.631578947368421,0.9109393358230591,3.55,2.403186195379159,1.35
106,want,choose,0.671,0.642,0.598,0.615,0.542,0.648,0.5,0.7959441542625427,4.78,3.7590259717092263,1.56
107,flu,fever,0.23,0.547,0.25,0.194,0.674,0.364,0.4,0.6760653853416443,6.08,5.201862906492665,1.58
108,cooperate,join,0.898,0.451,0.582,0.729,0.479,0.684,0.4,0.8564617037773132,5.18,3.7975694059711147,0.36
109,child,adult,0.912,0.46,0.413,0.815,0.491,0.787,0.75,0.7612798810005188,2.98,4.506363762256191,1.48
110,noticeable,obvious,0.89,0.562,0.75,0.625,0.336,0.585,0.5,0.8454151749610901,8.48,3.18786708752439,1.69
111,cloud,haze,0.74,0.133,0.342,0.427,0.327,0.217,0.875,0.8449950218200684,7.32,4.8885303163110105,1.68
112,crib,cradle,0.653,0.24,0.407,0.776,0.194,0.333,0.9,0.7342661023139954,8.55,5.066784282618451,1.15
113,animal,person,0.521,0.51,0.513,0.646,0.363,0.596,0.8571428571428571,0.8494021892547607,3.05,5.697632949844728,1.38
114,head,nail,0.53,0.472,0.558,0.469,0.397,0.282,0.8571428571428571,0.7270345687866211,2.47,4.893338330778049,1.4
115,heart,surgery,0.827,0.5,0.693,0.286,0.769,0.6,0.5555555555555556,0.5365709662437439,1.08,2.192367800372745,1.07
116,flower,endurance,0.802,0.189,0.254,0.592,0.745,0.76,0.3333333333333333,0.8844138979911804,0.4,2.436350111496802,1.7
117,area,zone,0.49,0.306,0.464,0.531,0.349,0.382,0.7692307692307693,0.8718357682228088,8.33,4.023238540937414,0.89
118,god,devil,0.758,0.518,0.886,0.161,0.9,0.611,0.875,0.8676401376724243,1.8,3.9375322012470697,1.1
119,cereal,wheat,0.612,0.206,0.316,0.531,0.185,0.25,0.96,0.9163722395896912,3.75,5.138416036539734,1.72
120,agree,differ,0.906,0.26,0.545,0.23,0.398,0.396,0.5,0.6998901963233948,1.05,1.8880153621525158,1.53
121,argue,prove,0.093,0.798,0.525,0.583,0.52,0.566,0.5454545454545454,0.911539614200592,4.83,2.7695473147245604,0.62
122,inform,notify,0.723,0.582,0.679,0.643,0.471,0.573,0.8888888888888888,0.9007641673088074,9.25,6.646227023867009,0.44
123,complain,argue,0.143,0.682,0.36,0.093,0.798,0.525,0.2857142857142857,0.8163737654685974,4.8,5.448745827137807,0.9
124,book,literature,0.802,0.21,0.606,0.708,0.25,0.598,0.7692307692307693,0.8014084100723267,7.53,4.881286084094164,0.45
125,bar,cage,0.5,0.531,0.481,0.316,0.333,0.352,0.7777777777777778,0.9322378039360046,2.8,4.195884215750062,0.51
126,brother,son,0.823,0.361,0.546,0.792,0.365,0.528,0.631578947368421,0.9282258152961731,3.48,3.2411707600910318,1.61
127,go,send,0.51,0.441,0.444,0.663,0.48,0.537,0.4,0.7377827763557434,3.75,2.2633912425243823,0.77
128,dad,mother,0.857,0.412,0.786,0.931,0.408,0.725,0.8888888888888888,0.6755363941192627,3.55,7.047775101966661,1.44
129,join,acquire,0.729,0.479,0.684,0.833,0.468,0.7,0.5,0.9336234331130981,2.85,5.060013811566258,0.99
130,sunset,evening,0.875,0.231,0.298,0.458,0.185,0.318,0.4,0.8003132343292236,5.98,3.09831016408053,1.35
131,honest,guilty,0.927,0.254,0.75,0.135,0.77,0.352,0.5,0.935582160949707,1.18,1.5267225331444503,1.68
132,friend,buddy,0.906,0.413,0.573,0.884,0.585,0.655,0.7058823529411765,0.8114134073257446,8.78,5.061991774887563,0.93
133,stomach,bedroom,0.367,0.402,0.438,0.744,0.296,0.491,0.26666666666666666,0.909328818321228,0.4,1.693088853473613,0.97
134,strange,odd,0.314,0.663,0.395,0.265,0.337,0.302,0.5,0.946571946144104,9.02,4.176227269296256,1.04
135,illegal,immoral,0.061,0.787,0.337,0.143,0.622,0.385,0.5,0.379932701587677,4.28,5.637756072933954,1.57
136,impatient,anxious,0.25,0.708,0.429,0.281,0.875,0.434,0.5,0.8227921724319458,6.03,5.198120913017403,1.22
137,discussion,argument,0.333,0.842,0.536,0.51,0.464,0.698,0.9230769230769231,0.9181964993476868,5.48,6.236074501041715,1.43
138,apple,juice,0.811,0.3,0.264,0.776,0.281,0.352,0.4,0.8793302774429321,2.88,2.3150927466760702,1.65
139,sense,intuition,0.781,0.417,0.474,0.857,0.508,0.602,0.625,0.7640497088432312,7.68,3.7496898966766357,1.24
140,clothes,drawer,0.833,0.27,0.414,0.429,0.196,0.292,0.625,0.8305579423904419,3.02,2.841468507467565,1.49
141,ball,cannon,0.74,0.427,0.317,0.529,0.676,0.811,0.782608695652174,0.8306044936180115,2.58,4.31554565592905,1.82
142,roam,wander,0.51,0.55,0.444,0.427,0.417,0.33,1.0,0.7909601926803589,8.83,6.938844899869499,0.89
143,reality,illusion,0.786,0.365,0.787,0.562,0.49,0.387,0.6666666666666666,0.9377257227897644,1.42,2.9273179212032767,1.36
144,send,receive,0.663,0.48,0.537,0.74,0.462,0.551,0.4,0.8933261036872864,1.08,2.929234354870915,1.53
145,boundary,border,0.561,0.427,0.518,0.406,0.382,0.424,0.9333333333333333,0.7955624461174011,9.08,6.033156713249868,0.44
146,cliff,tail,0.361,0.62,0.509,0.48,0.272,0.293,0.42857142857142855,0.7164031863212585,0.3,2.345791825795727,1.57
147,arm,body,0.552,0.285,0.469,0.694,0.461,0.571,0.8,0.8589745759963989,4.05,4.960936419506969,0.51
148,breathe,choke,0.833,0.373,0.518,0.167,0.788,0.676,0.6666666666666666,0.8370060324668884,1.37,2.7845522545359285,2.02
149,curve,angle,0.48,0.375,0.307,0.541,0.33,0.455,0.75,0.9358696937561035,3.33,3.6263238078745292,1.51
150,bicycle,bedroom,0.708,0.519,0.425,0.744,0.296,0.491,0.5555555555555556,0.7605147361755371,0.4,2.0970344556489287,1.47
151,crime,theft,0.071,0.943,0.63,0.135,0.867,0.394,0.9,0.8920727968215942,7.53,6.394485451499175,1.32
152,different,normal,0.612,0.394,0.473,0.74,0.127,0.38,0.5,0.8545222878456116,1.08,1.6219215560018077,1.75
153,milk,juice,0.817,0.27,0.327,0.776,0.281,0.352,0.875,0.9340308308601379,4.05,4.786026304434859,1.46
154,gossip,news,0.173,0.765,0.245,0.633,0.58,0.61,0.47058823529411764,0.9330251216888428,5.22,1.759010946706733,1.21
155,adversary,opponent,0.349,0.777,0.457,0.08,0.741,0.716,0.75,0.7131291627883911,9.05,5.795106856677256,1.4
156,anarchy,chaos,0.146,0.755,0.62,0.016,0.923,0.373,0.7692307692307693,0.8595412969589233,7.93,6.350219361241056,1.35
157,bath,trick,0.725,0.26,0.263,0.542,0.7,0.409,0.6666666666666666,0.9046071767807007,0.58,3.515817783159962,1.28
158,accident,catastrophe,0.125,0.908,0.336,0.146,0.952,0.67,0.8235294117647058,0.6899513602256775,5.9,5.695851809213601,1.63
159,log,timber,0.591,0.371,0.395,0.332,0.202,0.386,0.6666666666666666,0.9335908889770508,8.05,3.0427946317933556,1.12
160,alcohol,wine,0.323,0.667,0.377,0.792,0.417,0.457,0.9473684210526315,0.9151779413223267,7.42,5.270438602862761,1.53
161,bathroom,bedroom,0.561,0.283,0.345,0.744,0.296,0.491,0.8888888888888888,0.8375408053398132,3.4,5.103763696005535,1.73
162,get,remain,0.74,0.594,0.667,0.709,0.365,0.731,0.5,0.7294110059738159,1.6,4.299009963424934,1.68
163,activity,movement,0.701,0.66,0.807,0.656,0.654,0.658,0.75,0.9210556149482727,7.15,6.715269889878797,1.1
164,mouth,tooth,0.734,0.294,0.336,0.439,0.25,0.367,0.75,0.8464567065238953,6.3,3.720802051248344,1.39
165,death,tragedy,0.031,0.72,0.472,0.052,0.843,0.34,0.6666666666666666,0.9172325730323792,5.8,6.61682462590035,1.13
166,dirty,narrow,0.153,0.46,0.17,0.26,0.368,0.356,0.5,0.9055042266845703,0.3,4.728950183186708,0.89
167,moon,planet,0.673,0.233,0.547,0.698,0.404,0.832,0.8,0.7516671419143677,5.87,5.967705713781594,1.57
168,argue,justify,0.093,0.798,0.525,0.612,0.473,0.615,0.8,0.8506264090538025,5.0,4.287106619662346,1.13
169,agony,grief,0.083,0.775,0.393,0.07,0.64,0.474,0.625,0.8086742162704468,7.63,6.669007042531059,1.94
170,accept,forgive,0.847,0.286,0.565,0.781,0.408,0.562,0.4,0.7360749840736389,3.73,3.399377739283598,1.75
171,ball,glove,0.74,0.427,0.317,0.5,0.23,0.382,0.7368421052631579,0.8879539370536804,1.75,3.169427755151444,1.27
172,protect,defend,0.823,0.714,0.791,0.698,0.722,0.67,0.8571428571428571,0.9338469505310059,9.13,7.190907422783912,1.29
173,borrow,sell,0.398,0.573,0.282,0.618,0.608,0.605,0.3333333333333333,0.7297064065933228,1.73,1.6447317363487075,1.21
174,champion,winner,0.89,0.88,0.945,0.96,0.81,0.886,0.7058823529411765,0.8314080834388733,8.73,7.339021922236599,1.15
175,couch,baseball,0.594,0.082,0.198,0.66,0.76,0.563,0.6,0.8481623530387878,0.88,2.9849815670134907,1.32
176,salad,vinegar,0.75,0.26,0.307,0.276,0.37,0.356,0.5555555555555556,0.8825147747993469,1.13,2.9876029162259696,1.65
177,grass,blade,0.604,0.164,0.333,0.378,0.602,0.594,0.6,0.9294981956481934,4.57,3.3497363744857385,1.53
178,clothes,closet,0.833,0.27,0.414,0.531,0.204,0.33,0.5882352941176471,0.895423412322998,3.27,2.6508252970763415,1.29
179,listen,obey,0.771,0.36,0.445,0.677,0.433,0.533,0.8571428571428571,0.722668468952179,4.93,5.678964759425016,1.33
180,oak,maple,0.583,0.245,0.536,0.541,0.39,0.339,0.8888888888888888,0.849353015422821,6.03,5.127098044343517,0.39
181,hose,garden,0.469,0.288,0.263,0.77,0.23,0.456,0.3333333333333333,0.9089009165763855,1.67,1.630440407551026,1.1
182,argue,differ,0.093,0.798,0.525,0.23,0.398,0.396,0.2857142857142857,0.7178307175636292,5.15,4.483536564987254,1.22
183,intelligence,logic,0.833,0.587,0.885,0.646,0.245,0.819,0.6666666666666666,0.8586811423301697,6.5,5.2740438220321195,1.2
184,house,barn,0.587,0.135,0.533,0.51,0.452,0.425,0.8235294117647058,0.770071804523468,4.33,4.994298286310994,1.6
185,pursue,persuade,0.417,0.783,0.536,0.62,0.618,0.709,0.3333333333333333,0.8926554322242737,3.17,3.2684608703237634,1.39
186,win,dominate,0.927,0.694,0.888,0.439,0.814,0.953,0.5,0.9250747561454773,5.68,5.407885465393904,1.74
187,take,receive,0.828,0.537,0.348,0.74,0.462,0.551,0.8571428571428571,0.8243069052696228,5.08,5.101314650139202,0.48
188,beach,island,0.885,0.529,0.455,0.745,0.347,0.432,0.6,0.8630877137184143,5.6,2.2224460541244904,0.39
189,clothes,fabric,0.833,0.27,0.414,0.635,0.19,0.345,0.7142857142857143,0.8957272171974182,5.87,3.2417046814330504,1.66
190,evening,dusk,0.458,0.185,0.318,0.532,0.276,0.519,0.2857142857142857,0.8709151744842529,7.78,2.5659953997258746,1.32
191,easy,big,0.865,0.194,0.373,0.802,0.588,0.812,0.5,0.6924585700035095,1.12,3.4323765795521357,1.22
192,rain,mist,0.542,0.388,0.33,0.375,0.194,0.221,0.6,0.8550888895988464,5.97,3.099749076419041,1.83
193,blood,flesh,0.219,0.684,0.585,0.604,0.39,0.475,0.47058823529411764,0.9658383727073669,4.28,2.2966989100655115,1.74
194,bread,cheese,0.66,0.314,0.342,0.74,0.28,0.281,0.75,0.9177690148353577,1.95,3.3162832490274505,1.52
